"GYARTMANY_NEV";"GYARTMANY_KOD";"TIPUS_NEV";"TIPUS_KOD";"FAJTA_NEV";"FAJTA_KOD"
"A M C";"5922";"CHEROKEE";"28175";"Tehergépkocsi";"2"
"A M C";"5922";"CJ 7";"57007";"Személygépkocsi";"1"
"A M C";"5922";"CJ 7";"57007";"Tehergépkocsi";"2"
"A M C";"5922";"COMANCHE";"28176";"Tehergépkocsi";"2"
"A M C";"5922";"CONCORD DL";"28177";"Személygépkocsi";"1"
"A M C";"5922";"EAGLE";"28178";"Személygépkocsi";"1"
"A M C";"5922";"EAGLE";"28178";"Tehergépkocsi";"2"
"A M C";"5922";"GREMLIN";"28179";"Személygépkocsi";"1"
"A M C";"5922";"LAREDO CJ 7";"28180";"Tehergépkocsi";"2"
"A M C";"5922";"MATADOR";"28181";"Személygépkocsi";"1"
"A M C";"5922";"PACER";"28182";"Személygépkocsi";"1"
"A. UNTERHOLZNER";"6328";"12 T 0 KHM 35";"32404";"Pótkocsi";"6"
"A VALCKE";"6327";"A 3100";"32403";"Pótkocsi";"6"
"A.A.HAHN";"12293";"H7";"61595";"Pótkocsi";"6"
"AANGANGWAGER";"12133";"WEYTENS";"60004";"Pótkocsi";"6"
"AANHANGER";"6332";"TYP 3";"32409";"Pótkocsi";"6"
"AANHANGWAGEN";"6333";"AC-5";"32410";"Pótkocsi";"6"
"ABADOS";"6334";"MP-3";"32411";"Pótkocsi";"6"
"A-BAEUMLER";"6335";"PF/11";"32412";"Pótkocsi";"6"
"ABBEY";"5925";"ARCHWAY";"66799";"Pótkocsi";"6"
"ABBEY";"5925";"CARAVAN";"28184";"Pótkocsi";"6"
"ABBEY";"5925";"EXPRESSION";"66775";"Pótkocsi";"6"
"ABBEY";"5925";"GT";"66447";"Pótkocsi";"6"
"ABBEY";"5925";"VOGUE";"66897";"Pótkocsi";"6"
"ABBEY";"5925";"10";"28183";"Pótkocsi";"6"
"ABDERHALDEN";"6336";"BW-2000";"32413";"Pótkocsi";"6"
"ÁBEL";"6337";"ÁP-650";"32414";"Pótkocsi";"6"
"ABI";"6338";"ACE";"66888";"Pótkocsi";"6"
"ABI";"6338";"AWARD";"61226";"Pótkocsi";"6"
"ABI";"6338";"HERALD SPORT";"66289";"Pótkocsi";"6"
"ABI";"6338";"JUBILEE";"66879";"Pótkocsi";"6"
"ABI";"6338";"M2AB";"58985";"Pótkocsi";"6"
"ABI";"6338";"RALLYMAN XL";"60140";"Pótkocsi";"6"
"ABI";"6338";"380.2";"60911";"Pótkocsi";"6"
"ABI";"6338";"430 TM";"32415";"Pótkocsi";"6"
"ABI";"6338";"87AB";"59453";"Pótkocsi";"6"
"ABI AWARD";"12406";"DAYSTAR";"62563";"Pótkocsi";"6"
"ABI KFT.";"6339";"335";"32416";"Pótkocsi";"6"
"ABI KFT.";"6339";"495";"32417";"Pótkocsi";"6"
"ABI-TARGET";"6340";"MOD 5-10";"32418";"Pótkocsi";"6"
"ABL";"6341";"ASS 1";"64516";"Pótkocsi";"6"
"ABL";"6341";"JO";"32419";"Pótkocsi";"6"
"ABL";"6341";"P 265 R";"64612";"Pótkocsi";"6"
"ABL";"6341";"PF 2";"32420";"Pótkocsi";"6"
"ABLAS";"5926";"P-1";"28185";"Pótkocsi";"6"
"ABLAS";"5926";"P2-AL";"28186";"Pótkocsi";"6"
"ABLAS";"5926";"T-II";"28187";"Pótkocsi";"6"
"ABLINGER";"6342";"A 500 K";"61406";"Pótkocsi";"6"
"ABLINGER";"6342";"ASB ";"32421";"Pótkocsi";"6"
"ABLINGER";"6342";"ATL 420";"32422";"Pótkocsi";"6"
"ABM";"11959";"3ÁF-32000";"58211";"Pótkocsi";"6"
"ABONYI";"6343";"AJ-246";"32423";"Pótkocsi";"6"
"ABRB BT.";"6344";"230";"32424";"Pótkocsi";"6"
"ACE";"6345";"CARAVANS STAR 12";"32428";"Pótkocsi";"6"
"ACE";"6345";"SZTAR";"32429";"Pótkocsi";"6"
"ACE";"6345";"242670";"32426";"Pótkocsi";"6"
"ACE";"6345";"520";"32427";"Pótkocsi";"6"
"ACERBI";"6346";"AC 459";"32433";"Pótkocsi";"6"
"ACERBI";"6346";"OL 88053 CTO";"32434";"Pótkocsi";"6"
"ACERBI";"6346";"TELONATO 84516";"32435";"Pótkocsi";"6"
"ACERBI";"6346";"135 PS";"32430";"Pótkocsi";"6"
"ACERBI";"6346";"135 PSF 2";"32431";"Pótkocsi";"6"
"ACERBI";"6346";"136 PSR";"32432";"Pótkocsi";"6"
"ACERBI";"6346";"21L";"62396";"Pótkocsi";"6"
"ACHILLES";"12902";"A VIII";"66783";"Motorkerékpár";"5"
"ACHLEITNER";"6347";"AKIPR 20/2";"32437";"Pótkocsi";"6"
"ACHLEITNER";"6347";"APL 24/3";"32438";"Pótkocsi";"6"
"ACHLEITNER";"6347";"PL 17/3";"32439";"Pótkocsi";"6"
"ACHLEITNER";"6347";"PLK 20/2";"32440";"Pótkocsi";"6"
"ACHLEITNER";"6347";"TL 16/2";"32441";"Pótkocsi";"6"
"ACHLEITNER";"6347";"2 SNM 31";"32436";"Pótkocsi";"6"
"ACHLEITNER";"6347";"3 STA ";"63601";"Pótkocsi";"6"
"ACKERMANN";"5927";"ACS 22";"28191";"Pótkocsi";"6"
"ACKERMANN";"5927";"ACS 22/12";"28192";"Pótkocsi";"6"
"ACKERMANN";"5927";"ACS 24";"65295";"Pótkocsi";"6"
"ACKERMANN";"5927";"AMRS";"28193";"Pótkocsi";"6"
"ACKERMANN";"5927";"AS 10/13";"28194";"Pótkocsi";"6"
"ACKERMANN";"5927";"AS 9/13.6";"28195";"Pótkocsi";"6"
"ACKERMANN";"5927";"AS-F 18/13.6 EL";"28196";"Pótkocsi";"6"
"ACKERMANN";"5927";"AS-F 24/13.6/ACK";"61635";"Pótkocsi";"6"
"ACKERMANN";"5927";"A-11/7";"28190";"Pótkocsi";"6"
"ACKERMANN";"5927";"DA106F3";"57899";"Pótkocsi";"6"
"ACKERMANN";"5927";"DGVR 03";"28197";"Pótkocsi";"6"
"ACKERMANN";"5927";"EAF";"57826";"Pótkocsi";"6"
"ACKERMANN";"5927";"EAF 16-7";"28198";"Pótkocsi";"6"
"ACKERMANN";"5927";"EAF 18/7 15";"28199";"Pótkocsi";"6"
"ACKERMANN";"5927";"EAF 24-7.4/126";"28200";"Pótkocsi";"6"
"ACKERMANN";"5927";"E-EAF 10-7.8/122 ZL";"60090";"Pótkocsi";"6"
"ACKERMANN";"5927";"E-EAF 11.3/8.1";"28201";"Pótkocsi";"6"
"ACKERMANN";"5927";"F 24";"28202";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF AA 18/7.2";"28205";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF AA 8/6";"28206";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF AAF 12/7.1/107 TE";"28207";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF ACA 12/7.4 JZ";"28208";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF ACA 16/8 JZ";"28209";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF ACS 20";"28210";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF AIS 22";"28211";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF CNP R03";"28212";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF DA 78 F3";"28213";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF DA 87 F3";"28214";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF EAF 16/7 13";"28215";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF EAF 18/7 15";"28216";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF EAF 20/7 15";"28217";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF E-EAF 10/7.8";"28218";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF E-PWA 167.8";"28219";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF FPA 16 17 16";"28220";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF G/ACA 15";"28221";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF GPA 11/815";"28222";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF I EAF 18 74/126 EL";"28223";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF I-DA 24/78";"28224";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF I-PA 18/7.1 EL";"28225";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF I-PA 18/7.3 EL";"28226";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF I-PA 18/7.5 EL";"58828";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF I-PA 24/8.1 EL";"28227";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF I-PS 24/135 EL";"28228";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF I-SMKS18/73L";"58924";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF I-VIS 24/13.6 EL";"28229";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF I-Z PA 18/8.1 TZL";"28230";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF KA 18/5.0";"28231";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF KA 22.113";"28232";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF KS 16/5";"28233";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF PA 10";"28234";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF PA 12/8.1 EL";"60416";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF PA 12/8.2";"28235";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF PA 18/7.1";"28236";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF PA 18/7.3 EL";"28237";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF PA 18/7.4";"28203";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF PA 18/7.6 EL";"28238";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF PA 22";"28239";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF PA 24/8.2";"28240";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF PKA 16/7.1";"28241";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF PKA 24";"28242";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF PS 20";"28243";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF PS 24/13.5";"28244";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF PWS 18/12.1";"28245";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF RGX R01/R02";"28246";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF SMX 135 TA3";"28247";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF VFA 18/7.2";"28248";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF VFS 24/13.5";"28249";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF VTA 18/6.7";"28250";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF VTA-F 16/67";"28251";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF VTS 10/10.1Z";"28252";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF WAP";"28253";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF ZEAF 10-7.8/122 ZL";"60625";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF ZFAF 10-7.8/122ZL";"58951";"Pótkocsi";"6"
"ACKERMANN";"5927";"FRUEHAUF 1 SDX 135";"28204";"Pótkocsi";"6"
"ACKERMANN";"5927";"G-ACA 11/7.8";"28254";"Pótkocsi";"6"
"ACKERMANN";"5927";"GPA 22/93";"28255";"Pótkocsi";"6"
"ACKERMANN";"5927";"I-EAF 18-7.4";"28256";"Pótkocsi";"6"
"ACKERMANN";"5927";"I-PA 18-7.3";"28257";"Pótkocsi";"6"
"ACKERMANN";"5927";"I-PA-F18/7.1 EL";"62160";"Pótkocsi";"6"
"ACKERMANN";"5927";"I-SDX 136L";"66864";"Pótkocsi";"6"
"ACKERMANN";"5927";"KA 16/2";"28258";"Pótkocsi";"6"
"ACKERMANN";"5927";"KA 163";"28259";"Pótkocsi";"6"
"ACKERMANN";"5927";"KA 22/814";"28260";"Pótkocsi";"6"
"ACKERMANN";"5927";"KF 5964-01";"28261";"Pótkocsi";"6"
"ACKERMANN";"5927";"KS 161/22";"28262";"Pótkocsi";"6"
"ACKERMANN";"5927";"KS 221/34";"28264";"Pótkocsi";"6"
"ACKERMANN";"5927";"KS 22/3";"28263";"Pótkocsi";"6"
"ACKERMANN";"5927";"KS-F 9/10.2E";"28265";"Pótkocsi";"6"
"ACKERMANN";"5927";"LS 22";"28266";"Pótkocsi";"6"
"ACKERMANN";"5927";"PA 16";"64552";"Pótkocsi";"6"
"ACKERMANN";"5927";"PA 22/L";"28267";"Pótkocsi";"6"
"ACKERMANN";"5927";"PA 24/8.2";"28268";"Pótkocsi";"6"
"ACKERMANN";"5927";"PA-F 18/7.4 E";"63770";"Pótkocsi";"6"
"ACKERMANN";"5927";"PS 22";"28269";"Pótkocsi";"6"
"ACKERMANN";"5927";"PS 8/12";"28270";"Pótkocsi";"6"
"ACKERMANN";"5927";"PWS";"28271";"Pótkocsi";"6"
"ACKERMANN";"5927";"S 85";"28272";"Pótkocsi";"6"
"ACKERMANN";"5927";"S-0578802";"28273";"Pótkocsi";"6"
"ACKERMANN";"5927";"VA-F 18";"57755";"Pótkocsi";"6"
"ACKERMANN";"5927";"VFS 10/11";"28274";"Pótkocsi";"6"
"ACKERMANN";"5927";"VIA 18/7.2";"28275";"Pótkocsi";"6"
"ACKERMANN";"5927";"VSF 24/13.6 EL";"28276";"Pótkocsi";"6"
"ACKERMANN";"5927";"VTA 18/6.85";"28277";"Pótkocsi";"6"
"ACKERMANN";"5927";"VTS 16/126";"28278";"Pótkocsi";"6"
"ACKERMANN";"5927";"VTS 20";"28279";"Pótkocsi";"6"
"ACKERMANN";"5927";"Z-A-A-F";"64039";"Pótkocsi";"6"
"ACKERMANN";"5927";"Z-EAF 18-7.8/100 TZ";"28280";"Pótkocsi";"6"
"ACKERMANN";"5927";"ZKA 18/50 EL";"28281";"Pótkocsi";"6"
"ACKERMANN";"5927";"Z-PA-F";"58603";"Pótkocsi";"6"
"ACKERMANN";"5927";"250";"28188";"Pótkocsi";"6"
"ACKERMANN";"5927";"5500";"28189";"Pótkocsi";"6"
"ACM";"6348";"OT-183";"32442";"Pótkocsi";"6"
"ACSÁDI";"6350";"AL-149";"32444";"Pótkocsi";"6"
"ACURA";"5928";"INTEGRA";"28285";"Személygépkocsi";"1"
"ACURA";"5928";"LEGEND";"28286";"Személygépkocsi";"1"
"ACURA";"5928";"NSX";"28287";"Személygépkocsi";"1"
"ACURA";"5928";"RDX";"62715";"Személygépkocsi";"1"
"ACURA";"5928";"RL";"58146";"Személygépkocsi";"1"
"ACURA";"5928";"RSX";"28288";"Személygépkocsi";"1"
"ACURA";"5928";"TL";"28289";"Személygépkocsi";"1"
"ACURA";"5928";"TSX";"60179";"Személygépkocsi";"1"
"ACURA";"5928";"3.0";"28282";"Személygépkocsi";"1"
"ACURA";"5928";"3.2 TL";"28283";"Személygépkocsi";"1"
"ACURA";"5928";"3.5";"28284";"Személygépkocsi";"1"
"ACW";"6349";"610";"32443";"Pótkocsi";"6"
"ÁDÁM";"6351";"ÁA-154";"32447";"Pótkocsi";"6"
"ÁDÁM";"6351";"Á-680";"32446";"Pótkocsi";"6"
"ADAMO";"6352";"LEISENTRING";"32448";"Pótkocsi";"6"
"ADAMOLI";"6353";"S-37-PAL 75";"32449";"Pótkocsi";"6"
"ADAMOZYK";"6354";"A1/1200";"32450";"Pótkocsi";"6"
"ADIGE";"6355";"22 R 100 VP";"32451";"Pótkocsi";"6"
"ADIGE";"6355";"22 RN 1V/7.5";"66846";"Pótkocsi";"6"
"ADIGE";"6355";"25 R 3";"32452";"Pótkocsi";"6"
"ADIGE";"6355";"25 RN 8";"32453";"Pótkocsi";"6"
"ADIGE";"6355";"29 R1";"66152";"Pótkocsi";"6"
"ADIGE";"6355";"32 S 4L";"32454";"Pótkocsi";"6"
"ADIGE";"6355";"35 R 12";"32455";"Pótkocsi";"6"
"ADIGE";"6355";"36";"32457";"Pótkocsi";"6"
"ADIGE";"6355";"36 8975";"32456";"Pótkocsi";"6"
"ADIVA";"12360";"AD";"62113";"Motorkerékpár";"5"
"ADLER";"5929";"JUNIOR";"28290";"Személygépkocsi";"1"
"ADLER";"5929";"MB 200";"28291";"Motorkerékpár";"5"
"ADLER";"5929";"TRUMPF";"66375";"Személygépkocsi";"1"
"ADLER";"5929";"TRUMPF JUNIOR";"28292";"Személygépkocsi";"1"
"ADLY MOTO";"5930";"ATV 300";"28293";"Motorkerékpár";"5"
"ADMIRAL TRAIL.";"6356";"100";"32458";"Pótkocsi";"6"
"ADORJÁN";"6357";"AA-243";"32459";"Pótkocsi";"6"
"ADORNO";"6358";"LEISENTR SPERB";"32460";"Pótkocsi";"6"
"ADORNO";"6358";"SPERBER C";"59211";"Pótkocsi";"6"
"ADRIA";"5931";"A 390 DB";"28338";"Pótkocsi";"6"
"ADRIA";"5931";"A 410";"28339";"Pótkocsi";"6"
"ADRIA";"5931";"A 430 DDH";"28340";"Pótkocsi";"6"
"ADRIA";"5931";"A 430 PH";"28341";"Pótkocsi";"6"
"ADRIA";"5931";"A 432 PX";"28342";"Pótkocsi";"6"
"ADRIA";"5931";"ADIGE 22";"28343";"Pótkocsi";"6"
"ADRIA";"5931";"ADORA 472 DP";"28344";"Pótkocsi";"6"
"ADRIA";"5931";"ADORA 512 UP";"28345";"Pótkocsi";"6"
"ADRIA";"5931";"ADORA 552 PK";"28346";"Pótkocsi";"6"
"ADRIA";"5931";"ALTEA 390 DS";"28347";"Pótkocsi";"6"
"ADRIA";"5931";"ALTEA 502 DK";"28348";"Pótkocsi";"6"
"ADRIA";"5931";"AV 006 B8";"28349";"Pótkocsi";"6"
"ADRIA";"5931";"B 431 DB";"28350";"Pótkocsi";"6"
"ADRIA";"5931";"B 432 PX";"28351";"Pótkocsi";"6"
"ADRIA";"5931";"B 432 PY";"28352";"Pótkocsi";"6"
"ADRIA";"5931";"B 461 VB";"28353";"Pótkocsi";"6"
"ADRIA";"5931";"B 462 LU";"28354";"Pótkocsi";"6"
"ADRIA";"5931";"B 462 PH";"28355";"Pótkocsi";"6"
"ADRIA";"5931";"B 462 PU";"28356";"Pótkocsi";"6"
"ADRIA";"5931";"B 502 LH";"28357";"Pótkocsi";"6"
"ADRIA";"5931";"B 502 UK";"28358";"Pótkocsi";"6"
"ADRIA";"5931";"B 502 UP";"28359";"Pótkocsi";"6"
"ADRIA";"5931";"B 542 DK";"28360";"Pótkocsi";"6"
"ADRIA";"5931";"B 562 UP";"28361";"Pótkocsi";"6"
"ADRIA";"5931";"B 6 COMFORT";"28362";"Pótkocsi";"6"
"ADRIA";"5931";"BRIONI";"65215";"Pótkocsi";"6"
"ADRIA";"5931";"C 502 VP";"28363";"Pótkocsi";"6"
"ADRIA";"5931";"CAR";"66858";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN A 360 DBH";"28376";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN COMFORT";"64744";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN D7";"28377";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN OPTIMA 450";"28378";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN PRIMA A2 350";"28379";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN PRIMA A2 360";"28380";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN PRIMA A8 410";"28381";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN PRIMA A8 420";"28382";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN SLB";"28383";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN T 114";"28384";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN 210 B 431 DD";"28364";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN 265 AD 462 PU";"28365";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN 305 SLB";"28366";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN 329 512 UP";"28367";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN 390";"28368";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN 405";"28369";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN 410 SLT";"28370";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN 418 C 462 PH";"28371";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN 450";"28372";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN 457 C 563 UL";"28373";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN 502 UL";"28374";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVAN 5207 PK";"28375";"Pótkocsi";"6"
"ADRIA";"5931";"CARAVANE";"28385";"Pótkocsi";"6"
"ADRIA";"5931";"CLASSICA 447 743 UP";"28386";"Pótkocsi";"6"
"ADRIA";"5931";"E 502";"60101";"Pótkocsi";"6"
"ADRIA";"5931";"FORMA C 13 530";"28388";"Pótkocsi";"6"
"ADRIA";"5931";"FORMA C 28 500";"28389";"Pótkocsi";"6"
"ADRIA";"5931";"FORMA 430 TF";"28387";"Pótkocsi";"6"
"ADRIA";"5931";"F387";"67058";"Pótkocsi";"6"
"ADRIA";"5931";"KORNATI";"63107";"Pótkocsi";"6"
"ADRIA";"5931";"LAUBICHLER";"28390";"Pótkocsi";"6"
"ADRIA";"5931";"MISTRAL 470";"28391";"Pótkocsi";"6"
"ADRIA";"5931";"OPATIJA 470 TQ";"28392";"Pótkocsi";"6"
"ADRIA";"5931";"OPATIJA 530 TQ";"28393";"Pótkocsi";"6"
"ADRIA";"5931";"OPTIMA";"28394";"Pótkocsi";"6"
"ADRIA";"5931";"PRIMA 350 A/2";"28395";"Pótkocsi";"6"
"ADRIA";"5931";"PRIMA 350 ST";"61297";"Pótkocsi";"6"
"ADRIA";"5931";"ROYA TV 35";"28396";"Pótkocsi";"6"
"ADRIA";"5931";"SLT 440";"28397";"Pótkocsi";"6"
"ADRIA";"5931";"SUPRA";"28398";"Pótkocsi";"6"
"ADRIA";"5931";"03 SLL";"28294";"Pótkocsi";"6"
"ADRIA";"5931";"120";"28295";"Pótkocsi";"6"
"ADRIA";"5931";"1530";"28296";"Pótkocsi";"6"
"ADRIA";"5931";"305";"28297";"Pótkocsi";"6"
"ADRIA";"5931";"310";"28298";"Pótkocsi";"6"
"ADRIA";"5931";"330";"28299";"Pótkocsi";"6"
"ADRIA";"5931";"380";"28300";"Pótkocsi";"6"
"ADRIA";"5931";"3800 ";"28301";"Pótkocsi";"6"
"ADRIA";"5931";"390";"28303";"Pótkocsi";"6"
"ADRIA";"5931";"390 DE LUX";"28302";"Pótkocsi";"6"
"ADRIA";"5931";"400";"28304";"Pótkocsi";"6"
"ADRIA";"5931";"4050";"28305";"Pótkocsi";"6"
"ADRIA";"5931";"4051";"59542";"Pótkocsi";"6"
"ADRIA";"5931";"4052";"28306";"Pótkocsi";"6"
"ADRIA";"5931";"4053 TE";"28307";"Pótkocsi";"6"
"ADRIA";"5931";"410 SLT";"28308";"Pótkocsi";"6"
"ADRIA";"5931";"410 TA";"28309";"Pótkocsi";"6"
"ADRIA";"5931";"410 TK";"28310";"Pótkocsi";"6"
"ADRIA";"5931";"4122 1";"28311";"Pótkocsi";"6"
"ADRIA";"5931";"4152 DO";"28312";"Pótkocsi";"6"
"ADRIA";"5931";"4153";"28313";"Pótkocsi";"6"
"ADRIA";"5931";"4154 DO";"28314";"Pótkocsi";"6"
"ADRIA";"5931";"4156";"28315";"Pótkocsi";"6"
"ADRIA";"5931";"4158";"28316";"Pótkocsi";"6"
"ADRIA";"5931";"420";"28317";"Pótkocsi";"6"
"ADRIA";"5931";"4252 DO";"28318";"Pótkocsi";"6"
"ADRIA";"5931";"4256";"28320";"Pótkocsi";"6"
"ADRIA";"5931";"4256 DO";"28319";"Pótkocsi";"6"
"ADRIA";"5931";"4256 TE";"62951";"Pótkocsi";"6"
"ADRIA";"5931";"4257";"28321";"Pótkocsi";"6"
"ADRIA";"5931";"4259 TL";"28322";"Pótkocsi";"6"
"ADRIA";"5931";"4270 TD";"65363";"Pótkocsi";"6"
"ADRIA";"5931";"431";"28323";"Pótkocsi";"6"
"ADRIA";"5931";"442 C 743 UK";"28324";"Pótkocsi";"6"
"ADRIA";"5931";"450";"28325";"Pótkocsi";"6"
"ADRIA";"5931";"460";"28326";"Pótkocsi";"6"
"ADRIA";"5931";"465";"28327";"Pótkocsi";"6"
"ADRIA";"5931";"485";"28328";"Pótkocsi";"6"
"ADRIA";"5931";"500";"28329";"Pótkocsi";"6"
"ADRIA";"5931";"5002DB";"58903";"Pótkocsi";"6"
"ADRIA";"5931";"5003DS";"62722";"Pótkocsi";"6"
"ADRIA";"5931";"5004";"28330";"Pótkocsi";"6"
"ADRIA";"5931";"5205 ";"28331";"Pótkocsi";"6"
"ADRIA";"5931";"5205PH";"66160";"Pótkocsi";"6"
"ADRIA";"5931";"5206DK";"65531";"Pótkocsi";"6"
"ADRIA";"5931";"5206LH";"61571";"Pótkocsi";"6"
"ADRIA";"5931";"5207";"60386";"Pótkocsi";"6"
"ADRIA";"5931";"525";"28332";"Pótkocsi";"6"
"ADRIA";"5931";"530";"28333";"Pótkocsi";"6"
"ADRIA";"5931";"542 TK";"28334";"Pótkocsi";"6"
"ADRIA";"5931";"550";"28335";"Pótkocsi";"6"
"ADRIA";"5931";"580 GDL";"28336";"Pótkocsi";"6"
"ADRIA";"5931";"6C51";"65454";"Pótkocsi";"6"
"ADRIA";"5931";"6D34";"62217";"Pótkocsi";"6"
"ADRIA";"5931";"6D36";"62222";"Pótkocsi";"6"
"ADRIA";"5931";"750";"28337";"Pótkocsi";"6"
"ADRIA MOBIL";"12434";"250/A";"62753";"Személygépkocsi";"1"
"AEBI";"5932";"MFH 2200";"28399";"Tehergépkocsi";"2"
"AEBI";"5932";"MFH 5000";"28400";"Tehergépkocsi";"2"
"AEBI MFH";"12017";"MFH 2500";"58835";"Tehergépkocsi";"2"
"AEON";"5933";"AT72";"62288";"Motorkerékpár";"5"
"AEON";"5933";"COBRA 180 RS";"28401";"Motorkerékpár";"5"
"AEON";"5933";"LG 150";"28402";"Motorkerékpár";"5"
"AERIAL ACCES";"6359";"E 12";"32461";"Pótkocsi";"6"
"AERO";"5934";"30";"28403";"Személygépkocsi";"1"
"AEROCLUB";"6360";"DÜSSELDORF 260";"32462";"Pótkocsi";"6"
"AEZ";"6361";"2013";"32463";"Pótkocsi";"6"
"AF";"6362";"010";"32464";"Pótkocsi";"6"
"AFA ALCOA";"6363";"AAP-18";"32470";"Pótkocsi";"6"
"AFIT";"5935";"A 450";"28409";"Pótkocsi";"6"
"AFIT";"5935";"MECSEK 280";"28410";"Pótkocsi";"6"
"AFIT";"5935";"VICKEND 650";"28411";"Pótkocsi";"6"
"AFIT";"5935";"102";"65127";"Pótkocsi";"6"
"AFIT";"5935";"102 TA-001";"28404";"Pótkocsi";"6"
